COUNTRY,MA_ID,NAME,LON,LAT,DESIG,LEGAL,DESIG_TYPE,DOMAIN,STATUS,DATE_ESTAB,AREA_R_HA,MARIE_R_H,MGT_PLAN,IUCN_CAT,INTL_CONV,STATE_PROV,ZONES,NO_TAKE,NO_TK_R_HA,MGT_MODEL,MGT_EFF,SOURCE,NOTES,CONSENT,CTMPAS_CAT,VALIDATED,VALIDATED_BY,VALIDATED_ON,HAS_POLY
"Indonesia","1015947","Kolepom Island","137.80402800","-7.96639400","-7,966394","Kep MenKP Nomor 5 Tahun 2023","National","Marine","Designated","2023-01-05",356337.90,356337.90,"Yes","","","	South Papua","Yes","Part",35458.27,"","","ATSEA & MMAF","","Yes","Category 2","False","","","True"
"Indonesia","1015946","Bangka Tengah Marine Protected Area","105.81069946","-2.41517801","Province Marine Protected Area","Kep Bupati Bangka Tengah Nomor : 188.45/268/DKP/2007","Provincial","Marine","Designated","2007-01-01",0.00,0.00,"Unknown","","","","","",,"EKKP3K","","","","Yes","Category 1","False","","","False"
"Indonesia","1015945","Teluk Cendrawasih Marine National Park","134.41772461","-1.81463742","National Marine Protected Area","SK. Menhut Nomor 8009/Kpts-II/2002","National","Marine","Designated","2002-01-01",1453500.00,1453500.00,"Yes","","","","Yes","",,"","","","","Yes","Category 1","False","","","False"
"Indonesia","1015944","Kepulauan Fam Raja Ampat Marine Protected Area","130.24703979","-0.61961676","Province Marine Protected Area","KEPGUB PABAR 523/195/10/2017 tanggal 25 Oktober 2017","Provincial","Marine","Designated","2017-10-25",360000.00,360000.00,"Drafted","","","Papua Barat","","",,"EKKP3K","","MMAF","","Yes","Category 1","False","","","False"
"Indonesia","1015943","Teluk Berau dan Teluk Nusalasi Marine Protected Area ","132.17102051","-2.54359741","Province Marine Protected Area","KEPGUB PABAR 523/136/7/2017 Tanggal 25 Juli 2017","Provincial","Marine","Designated","2017-06-25",350000.00,350000.00,"Yes","","","Papua Barat","","",,"EKKP3K","Established","","","Yes","Category 1","False","","","False"
"Indonesia","1015942","Kepulauan Sula Marine Protected Area","126.06811523","-1.99032171","Province Marine Protected Area","KEPGUB MALUT 360/KPTS/MU/2018","Provincial","Marine","Designated","2018-12-27",117959.88,117959.88,"Drafted","","","Maluku Utara","","",,"EKKP3K","","MMAF","","Yes","Category 1","False","","","False"
"Indonesia","1015941","Pulau Makian Marine Protected Area","127.47711182","0.32079924","Province Marine Protected Area","KEPGUB MALUT 359/KPTS/MU/2018","Provincial","Marine","Unknown","2018-12-27",42799.00,42799.00,"No","","","North Maluku","","",,"EKKP3K","","MMAF","","Yes","Category 1","False","","","False"
"Indonesia","1015940","Pulau Ay-Pulau Rhun Banda Marine Protected Area","129.71076965","-4.56903278","Marine Protected Area","KEPGUB MALUKU Nomor 388 Tahun 2016","Provincial","Marine","Designated","2016-11-23",47968.74,47968.74,"Drafted","","","Maluku","","",,"EKKP3K","Unknown","","","Yes","Category 1","False","","","False"
"Indonesia","1015939","Kepulauan Lease Marine Protected Area","128.47686768","-3.67021675","Province Marine Protected Area","KEPGUB MALUKU Nomor 387 Tahun 2016 tanggal 23 November 2016","Provincial","Marine","Designated","2016-11-23",81573.48,81573.48,"Drafted","","","Maluku","","",,"EKKP3K","","MMAF","","Yes","Category 1","False","","","False"
"Indonesia","1015938","Pulau Baeer Marine Protected Area","132.69561768","-5.34586429","Province Marine Protected Area","KEPGUB Maluku Nomor 386 Tahun 2016 tanggal 23 November 2016","Provincial","Marine","Designated","2016-11-23",82.00,82.00,"Unknown","","","Maluku","","",,"EKKP3K","","MMAF","","Yes","Category 1","False","","","False"
"Indonesia","1015937","Mamuju Marine Protected Area","118.83087158","-2.52932948","Province Marine Protected Area","KEPGUB SULBAR 188.4/526/Sulbar/IX/2016 6 September 2016","Provincial","Marine","Designated","2016-09-06",67000.00,67000.00,"Unknown","","","West Sulawesi","","",,"EKKP3K","","MMAF","","Yes","Category 1","False","","","False"
"Indonesia","1015936","Teluk Bone Bagian Selatan Marine Protected Area","120.79467773","-4.14043408","Province Marine Protected Area","KEPGUB SULSEL Nomor 2943/XI/2018 tanggal 8 November 2018","Provincial","Marine","Designated","2018-11-08",423924.00,423924.00,"Unknown","","","","","",,"EKKP3K","","MMAF","","Yes","Category 1","False","","","False"
